"Month","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","Creator"
2021-12-01,4,13,1,13,7,1,3,4,52.3809523809524,47.6190476190476,"jeremy lynch"
2022-01-01,8,3,1,7,3,1,2,2,78.5714285714286,21.4285714285714,"jeremy lynch"
2022-02-01,7,5,3,5,2,4,2,7,55,45,"jeremy lynch"
2022-03-01,4,8,1,5,0,2,0,8,64.7058823529412,35.2941176470588,"jeremy lynch"
2022-04-01,6,19,3,8,6,4,1,11,52.5,47.5,"jeremy lynch"
2022-05-01,4,30,3,11,20,7,12,17,31.9148936170213,68.0851063829787,"jeremy lynch"
2022-06-01,9,19,5,18,12,9,9,16,38.3333333333333,61.6666666666667,"jeremy lynch"
2022-07-01,12,21,6,17,13,6,6,17,43.75,56.25,"jeremy lynch"
2022-08-01,22,23,16,19,16,18,7,27,52,48,"jeremy lynch"
2022-09-01,8,19,5,13,10,11,10,16,50.9433962264151,49.0566037735849,"jeremy lynch"
2022-10-01,29,60,23,40,38,20,13,55,41.9117647058824,58.0882352941177,"jeremy lynch"
2022-11-01,27,46,16,26,31,24,23,40,42.5925925925926,57.4074074074074,"jeremy lynch"
2022-12-01,19,31,13,24,21,10,12,23,38.3561643835616,61.6438356164384,"jeremy lynch"
NA,0,0,0,0,0,0,0,0,NA,NA,"jeremy lynch"
